,PATTERN,message,@timestamp,message_only_1,logLevel,thread,class_name_method_name
27,Get Subscription & Device Error 404,"""2022-02-23 16:52:50.659  INFO 1 --- [nio-8080-exec-2] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469550)\""}]\n""",2022-02-23T16:52:50.659000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469550)\""}]\n""",INFO,nio-8080-exec-2,.w.r.s.m.s.SubscriptionManagementService
28,Get Subscription & Device Error 404,"""2022-02-23 16:52:50.446  INFO 1 --- [nio-8080-exec-1] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469546)\""}]\n""",2022-02-23T16:52:50.446000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469546)\""}]\n""",INFO,nio-8080-exec-1,.w.r.s.m.s.SubscriptionManagementService
29,Get Subscription & Device Error 404,"""2022-02-23 16:52:50.228  INFO 1 --- [io-8080-exec-10] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469545)\""}]\n""",2022-02-23T16:52:50.229000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469545)\""}]\n""",INFO,io-8080-exec-10,.w.r.s.m.s.SubscriptionManagementService
30,Get Subscription & Device Error 404,"""2022-02-23 16:52:49.977  INFO 1 --- [nio-8080-exec-8] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469537)\""}]\n""",2022-02-23T16:52:49.977000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469537)\""}]\n""",INFO,nio-8080-exec-8,.w.r.s.m.s.SubscriptionManagementService
31,Get Subscription & Device Error 404,"""2022-02-23 16:52:49.739  INFO 1 --- [nio-8080-exec-9] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469536)\""}]\n""",2022-02-23T16:52:49.739000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469536)\""}]\n""",INFO,nio-8080-exec-9,.w.r.s.m.s.SubscriptionManagementService
32,Get Subscription & Device Error 404,"""2022-02-23 16:52:49.530  INFO 1 --- [nio-8080-exec-6] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469535)\""}]\n""",2022-02-23T16:52:49.530000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469535)\""}]\n""",INFO,nio-8080-exec-6,.w.r.s.m.s.SubscriptionManagementService
33,Get Subscription & Device Error 404,"""2022-02-23 16:52:49.313  INFO 1 --- [nio-8080-exec-7] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469530)\""}]\n""",2022-02-23T16:52:49.313000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469530)\""}]\n""",INFO,nio-8080-exec-7,.w.r.s.m.s.SubscriptionManagementService
34,Get Subscription & Device Error 404,"""2022-02-23 16:52:49.074  INFO 1 --- [nio-8080-exec-5] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469529)\""}]\n""",2022-02-23T16:52:49.074000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469529)\""}]\n""",INFO,nio-8080-exec-5,.w.r.s.m.s.SubscriptionManagementService
35,Get Subscription & Device Error 404,"""2022-02-23 16:52:48.850  INFO 1 --- [nio-8080-exec-3] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469527)\""}]\n""",2022-02-23T16:52:48.850000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469527)\""}]\n""",INFO,nio-8080-exec-3,.w.r.s.m.s.SubscriptionManagementService
36,Get Subscription & Device Error 404,"""2022-02-23 16:52:48.635  INFO 1 --- [nio-8080-exec-4] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469519)\""}]\n""",2022-02-23T16:52:48.635000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469519)\""}]\n""",INFO,nio-8080-exec-4,.w.r.s.m.s.SubscriptionManagementService
