message,PATTERN,@timestamp
"""2022-02-23 16:52:43.241  INFO 1 --- [nio-8080-exec-8] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469170)\""}]\n""",Get Subscription & Device Error 404  ,"""2022-02-23T16:52:43.242+00:00"""
"""2022-02-23 16:52:43.003  INFO 1 --- [nio-8080-exec-9] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469163)\""}]\n""",Get Subscription & Device Error 404  ,"""2022-02-23T16:52:43.004+00:00"""
"""2022-02-23 16:52:42.773  INFO 1 --- [nio-8080-exec-6] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469162)\""}]\n""",Get Subscription & Device Error 404  ,"""2022-02-23T16:52:42.773+00:00"""
"""2022-02-23 16:52:42.549  INFO 1 --- [nio-8080-exec-7] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469161)\""}]\n""",Get Subscription & Device Error 404  ,"""2022-02-23T16:52:42.550+00:00"""
"""2022-02-23 16:52:42.332  INFO 1 --- [nio-8080-exec-5] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469145)\""}]\n""",Get Subscription & Device Error 404  ,"""2022-02-23T16:52:42.333+00:00"""
"""2022-02-23 16:52:42.103  INFO 1 --- [nio-8080-exec-3] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469096)\""}]\n""",Get Subscription & Device Error 404  ,"""2022-02-23T16:52:42.103+00:00"""
"""2022-02-23 16:52:41.883  INFO 1 --- [nio-8080-exec-4] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469036)\""}]\n""",Get Subscription & Device Error 404  ,"""2022-02-23T16:52:41.883+00:00"""
"""2022-02-23 16:52:41.656  INFO 1 --- [nio-8080-exec-2] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469035)\""}]\n""",Get Subscription & Device Error 404  ,"""2022-02-23T16:52:41.657+00:00"""
"""2022-02-23 16:52:41.417  INFO 1 --- [nio-8080-exec-1] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469030)\""}]\n""",Get Subscription & Device Error 404  ,"""2022-02-23T16:52:41.417+00:00"""
"""2022-02-23 16:52:41.193  INFO 1 --- [io-8080-exec-10] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469029)\""}]\n""",Get Subscription & Device Error 404  ,"""2022-02-23T16:52:41.194+00:00"""
"""2022-02-23 16:52:40.971  INFO 1 --- [nio-8080-exec-8] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469021)\""}]\n""",Get Subscription & Device Error 404  ,"""2022-02-23T16:52:40.971+00:00"""
"""2022-02-23 16:52:40.741  INFO 1 --- [nio-8080-exec-9] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469010)\""}]\n""",Get Subscription & Device Error 404  ,"""2022-02-23T16:52:40.741+00:00"""
"""2022-02-23 16:52:40.523  INFO 1 --- [nio-8080-exec-6] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469009)\""}]\n""",Get Subscription & Device Error 404  ,"""2022-02-23T16:52:40.523+00:00"""
"""2022-02-23 16:52:40.287  INFO 1 --- [nio-8080-exec-7] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469007)\""}]\n""",Get Subscription & Device Error 404  ,"""2022-02-23T16:52:40.288+00:00"""
"""2022-02-23 16:52:40.066  INFO 1 --- [nio-8080-exec-5] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469004)\""}]\n""",Get Subscription & Device Error 404  ,"""2022-02-23T16:52:40.066+00:00"""
